Date,LoBM LoINV,BM1 INV2,BM1 INV3,BM1 INV4,LoBM HiINV,BM2 INV1,BM2 INV2,BM2 INV3,BM2 INV4,BM2 INV5,BM3 INV1,BM3 INV2,BM3 INV3,BM3 INV4,BM3 INV5,BM4 INV1,BM4 INV2,BM4 INV3,BM4 INV4,BM4 INV5,HiBM LoINV,BM5 INV2,BM5 INV3,BM5 INV4,HiBM HiINV
196307,  -1.3624,   0.7152,   0.3853,  -0.2921,   0.9846,  -0.8812,  -0.3716,   0.3861,   0.6957,  -0.4357,  -1.0743,  -1.3252,   3.2937,  -0.8370,  -0.7946,  -0.9730,  -2.3161,  -1.3369,  -1.0392,   0.2803,  -1.4212,   0.6409,  -1.6135,  -1.8794,   3.8660
196308,   4.2735,   5.7000,   5.3621,   5.4385,   6.9264,   6.7159,   4.2094,   5.0898,   3.6000,   5.7743,   4.8254,   5.7573,   4.0520,   5.2783,   5.9358,   9.7819,   6.3823,   4.9329,  10.7990,   4.9830,   7.1196,   4.8778,   5.4712,   4.9603,   7.9917
196309,  -1.7137,  -2.3537,  -3.0181,   0.1009,  -1.0650,  -1.6836,  -0.4904,  -2.9932,  -0.2887,  -0.4777,   0.5070,   1.4226,  -2.7912,  -1.2089,  -2.3339,  -0.0411,  -1.0113,   0.0472,   2.6046,  -2.9918,  -1.4878,  -3.4016,  -1.1374,  -4.1792,   3.0014
196310,   2.5888,   2.4465,   1.0775,   4.8654,  11.8869,   0.3911,   0.4258,  -0.4585,   3.2999,   1.6467,   2.6940,  -1.6576,   0.8644,   1.6700,   1.6354,   2.8532,   3.4187,   3.6100,   7.2857,  -2.2787,   2.3196,   3.0092,  -1.8532,  -2.7893,   4.5917
196311,   3.5092,  -0.0877,  -0.7254,  -0.8219,  -5.3905,  -3.7889,  -1.0155,  -1.2846,   2.7201,  -0.9063,  -1.7746,  -1.6055,  -1.9455,  -0.9063,   0.3434,   0.1151,  -2.9169,  -1.6589,  -2.6246,  -1.4783,  -1.1248,  -2.1381,  -0.3124,   4.1806,  -1.9714
196312,   2.3438,   5.3037,   3.3930,   2.2989,  -0.1133,   4.6045,   2.0386,   1.9055,   2.1424,   3.4594,   2.4706,   0.7710,   2.2036,   0.9712,   2.0539,   0.3952,   2.8824,   0.8348,  -0.1876,   7.4357,  -0.7511,   4.6267,  -2.7789,   5.6483,  -2.1642
196401,   4.1540,   1.4856,   2.5748,   4.5260,   0.4205,   2.2168,   1.4004,   0.9166,   4.7128,  -0.4648,  -0.1462,   1.2013,   2.6429,   1.4042,   2.5320,   4.9196,   2.9317,   4.8092,   0.4510,  -1.4763,   4.2252,   1.5282,   1.7726,   0.5748,   2.8081
196402,   3.6304,   0.6405,   1.0954,   2.3820,   1.4280,  -0.4539,   2.2505,   1.8376,   0.0658,   3.0720,   1.7577,   2.3767,   2.3601,   0.8673,   0.0890,   3.3142,   4.9096,   4.0476,   7.5761,   3.3110,   2.3391,   1.9995,   7.8088,   5.3096,   0.2317
196403,   1.5366,   4.6100,   0.0078,   1.3191,   0.3426,   0.5594,   1.5392,   1.8037,   0.2485,   4.6191,   5.8216,   4.9881,   3.7574,   1.9153,   3.7651,   7.8405,   4.6078,   5.9813,   3.6738,   0.1636,   9.0959,   1.0090,  -0.0648,  -0.2849,   5.9959
196404,  -1.2193,  -0.5163,  -0.3266,  -1.6366,   3.7845,   0.1747,  -0.0999,   1.8666,   1.8981,   0.3283,  -3.9982,   0.0888,   4.0339,   1.3774,   1.0218,  -4.8366,  -0.3787,  -0.9422,  -0.3287,   4.9305,  -2.4471,   8.4313,   2.7855,  -6.0293,  -2.4830
196405,   1.9945,   0.8558,   0.3268,   2.8212,   3.1340,  -0.4514,   1.4339,   1.4289,  -0.1313,   1.7703,  -1.4484,  -0.3727,   3.0854,   3.1787,   1.3251,   2.8529,   0.8116,   4.4038,   4.9870,   4.3850,   2.5796,   6.4281,  -2.4272,  -4.6596,   0.6011
196406,  -1.6996,   1.6371,   1.9840,   0.9079,   1.2985,   4.6486,   1.9567,   1.6578,   3.7360,   0.3558,  -1.7195,   2.1894,  -0.1565,   1.8101,   1.5413,   0.9959,   3.5204,   1.2769,   1.4652,   1.3842,   1.8536,   1.0914,   0.5943,   4.4793,  -1.6402
196407,   3.3884,   1.1599,   4.6526,   0.0565,   0.5424,   1.6184,   4.1781,  -0.4644,   2.7907,   2.3769,   3.2018,   3.7002,   2.9775,   3.8852,   4.3581,   1.1781,   1.8772,   2.5041,   2.7493,  -3.0992,   2.9811,   0.5014,   2.0905,   0.4063,   1.3416
196408,  -1.0727,  -1.6105,  -0.2807,  -2.6428,  -1.6939,  -1.2214,   0.4513,  -2.0167,  -1.2674,  -1.7564,   0.5489,   1.0845,  -1.2575,  -2.0577,   5.4816,  -0.3137,  -0.4401,   0.8911,  -2.2330,   0.8112,  -1.8036,  -2.6520,   1.3475,   0.0502,   0.1350
196409,   3.7626,   5.0161,   3.5648,   0.7007,   4.9055,   3.6610,   2.3503,   0.1288,   4.8162,   4.9488,   3.0694,   4.2324,   3.0838,   5.1998,   6.2083,   2.2100,   4.3917,   6.6335,   4.2644,   2.1518,   3.7794,   4.1833,   1.0204,  11.0303,   2.3754
196410,  -0.5541,  -1.0521,   1.4196,  -0.9913,   1.3252,   4.0356,   2.0733,   0.3550,   2.2872,   1.2666,   0.9289,   1.4013,   1.8580,  -0.2699,   0.3475,   3.5795,  -0.3941,  -1.2560,   3.5952,  -1.4472,   0.8865,   2.0787,   1.5270,   4.1292,  -0.1629
196411,   2.5162,   2.5596,   0.8810,   0.5663,   0.5398,  -0.1189,  -0.2611,  -0.8293,   2.6918,   0.3490,   0.6428,  -0.3054,   1.7233,   2.1755,  -0.4661,   0.0558,  -1.6853,  -1.5240,   2.2947,   1.7374,  -0.8406,  -4.1898,  -1.7566,  -4.0185,   1.9849
196412,   1.1294,  -1.3966,   1.4695,  -0.4925,   1.7333,  -0.4814,  -0.0027,   2.3185,   0.3207,   0.6498,  -1.5671,  -2.4551,   1.4905,  -3.2444,   1.0148,  -2.0710,  -2.6960,   0.3379,   1.1794,  -3.1719,  -0.8362,  -2.9737,  -1.6877,  -1.7946,  -1.2237
196501,   4.8374,   5.2484,   3.2563,   7.0655,   5.6163,   2.5913,   3.9187,  -0.2266,   2.7388,   6.3069,   6.1199,   4.8110,   2.7836,   3.0805,   1.6113,   6.0010,   4.6295,   3.5233,   2.2808,   5.6603,   6.9942,   5.2491,   7.8461,   6.0987,   8.6468
