Date,LoBM LoOP,BM1 OP2,BM1 OP3,BM1 OP4,LoBM HiOP,BM2 OP1,BM2 OP2,BM2 OP3,BM2 OP4,BM2 OP5,BM3 OP1,BM3 OP2,BM3 OP3,BM3 OP4,BM3 OP5,BM4 OP1,BM4 OP2,BM4 OP3,BM4 OP4,BM4 OP5,HiBM LoOP,BM5 OP2,BM5 OP3,BM5 OP4,HiBM HiOP
196307,   1.5667,   2.3959,   0.1563,  -1.2642,   0.6103,   0.9993,   1.3035,   0.2018,  -0.4454,  -1.7355,  -0.6391,   1.8580,  -0.9886,  -1.3546,   0.1398,  -1.7877,  -0.4092,  -5.2600,   1.2625,   2.4473,  -1.9916,   1.4799,   2.7043,  -1.7646,  -1.0694
196308,   5.9311,   2.5545,   6.4142,   5.5728,   5.8709,   1.5049,   3.8605,   4.5227,   5.2703,   5.7711,   6.2349,   3.9614,   6.0991,   4.2503,   6.2442,   7.7888,   6.4719,  15.5939,   4.1357,  11.9795,   5.6974,   5.4168,   2.6932,   6.3988,   3.4264
196309,  -5.0591,  -4.6972,   1.3918,  -1.8810,  -1.2090,  -2.0466,  -3.4478,   0.5906,  -2.4894,  -4.7131,  -0.8722,  -0.0536,  -2.2340,  -1.2808,  -2.1463,  -1.5697,  -0.3780,   3.6947,  -1.3282,  -8.4785,  -2.6355,  -4.7089,  -0.3408,  -0.4710,  -2.9148
196310,  -2.1803,  -3.7151,   0.8348,   3.9738,   7.2644,  -0.5754,   1.9820,   2.5652,  -0.8234,   2.6401,   1.5432,  -0.2797,   0.9517,   2.3716,   4.9025,   2.7924,   0.4168,   9.8824,   6.6686,  18.9219,   1.2438,   2.5739,   2.0655,  -2.1846,   8.5136
196311,  -3.1118,   0.0362,  -0.9976,   1.0173,  -2.6709,  -5.2223,   0.4643,   2.0600,  -0.8061,  -1.8956,   1.2283,  -2.8520,  -0.5256,  -2.0903,   0.7363,   0.3592,  -1.7549,  -4.4519,   0.9625,   5.1808,   1.0567,  -2.4117,  -1.5184,  -0.4706,  -2.8375
196312,  -0.5946,   5.4842,   1.6828,   2.8741,   1.8926,   0.2247,   4.8891,   1.4215,   3.2939,   1.1446,  -0.6676,   3.0148,   1.6651,  -0.3355,  -0.4640,   1.9003,   2.6145,  -0.5080,   3.0041,   4.9498,   2.0380,   4.9583,  -3.5029,  -3.8436,  -0.1041
196401,   0.6064,   3.8446,   3.8622,   2.0018,   2.9752,   4.0308,   6.2445,   2.4874,   0.7862,   1.9384,  -0.3077,   3.5309,  -0.2944,  -0.2877,   1.9361,   3.0921,   2.7470,  -1.2099,   1.9314,  10.5691,   2.7866,   1.6912,   1.9294,   1.0380,   0.8040
196402,   7.6118,   2.3588,   1.2222,   0.9647,   2.3481,  -1.4334,   0.8798,   0.6373,   2.0929,   0.2289,   3.8328,   1.0148,   1.5137,   2.4658,   3.6045,   2.7895,   3.2358,  10.0008,   5.6181,  10.7847,   3.7759,   1.3821,   5.1556,   9.2432,   6.9496
196403,  -1.0295,  -1.5983,  -0.6331,   1.2033,   1.8352,   0.0883,   2.3704,  -0.1987,   2.9806,   4.6769,   2.9332,   4.7623,   4.2460,   2.8884,   3.5336,   6.4647,   4.2918,   3.3339,   4.4255,  13.5218,   4.1080,   0.4339,  -0.7245,  -1.1456,  10.9641
196404,   5.4321,   6.0469,   0.3824,  -2.4427,   0.5348,   7.1734,   2.1523,   0.3985,   2.1303,   1.4825,   7.2844,   0.2472,  -0.3550,   1.4198,  -2.3356,  -2.1805,  -0.0383,  -0.9183,  -4.2690, -10.3588,  -1.9546,  10.5110,  -2.0268,   3.4599,  -1.8766
