Date,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
192602,  -9.34,  -5.59,  -3.72,  -7.24,  -4.75,  -7.82,  -5.28,  -6.37, -11.10,  -6.90,  -7.79,  -3.72,  -4.59,  -3.03,  -8.29,  -7.97,  -6.31,  -4.74,  -3.42,  -5.90,  -5.13,  -3.51,  -1.69,  -0.68,  -1.57
192603, -14.47, -15.09, -13.14,  -6.73,  -5.47, -15.39, -12.29,  -9.45, -10.04,  -8.11,  -9.15, -11.78, -11.10,  -6.34,  -8.53, -14.50,  -8.52,  -6.82,  -7.50,  -4.79, -17.85,  -6.40,  -5.65,  -4.45,  -5.50
192604,   2.02,  -0.51,   3.84,   2.93,   6.66,   4.29,   2.76,   3.26,   2.80,   2.32,   4.36,   2.65,   4.96,   3.00,   3.66,   5.59,   5.06,   4.52,   2.03,   5.04,   0.25,   3.85,   3.57,   4.16,   3.82
192605,  -2.28,  -3.72,  -3.76,  -2.85,  -0.03,   1.73,   0.17,  -0.22,   2.31,   1.58,  -0.76,  -1.75,  -1.82,   0.45,   1.43,  -4.00,   0.98,   2.90,  -0.22,   2.44,   1.29,   0.09,   2.30,   0.98,   0.92
192606,   6.50,   5.28,   4.11,   4.28,   7.19,   3.80,   6.17,   5.90,   0.40,   7.83,   5.31,   4.88,   2.90,   4.51,   0.63,   8.97,   7.94,   6.99,   5.31,   4.02,   9.70,  10.31,   6.25,   4.00,   3.30
192607,  -1.75,  -1.58,   1.82,  -1.03,   4.41,   1.01,   1.12,   1.81,   0.45,  -1.44,   0.72,   2.25,   2.89,   0.48,   2.76,  -1.25,   0.29,   0.47,   3.09,   3.41,   2.19,   1.99,   3.04,   3.00,   8.01
192608,   2.86,   2.80,   3.20,   1.03,  -2.82,   5.65,   1.00,   0.57,   0.71,   7.35,   8.51,   3.01,   3.47,   2.27,   3.81,   1.12,   3.50,   1.67,   1.54,   1.71,   1.39,   2.92,   4.34,   2.26,   2.60
192609,  -0.81,  -4.75,  -1.45,  -1.08,  -5.28,  -1.68,  -2.65,  -2.02,   1.90,  -1.52,  -1.34,   0.16,  -0.14,   0.26,  -2.71,   1.26,   0.41,  -0.56,   1.25,  -2.87,  -0.87,  -0.05,   0.62,  -1.08,   6.03
192610,  -5.59,  -4.29,  -0.52,  -9.30,   5.79,  -6.75,  -3.92,  -1.43,  -1.76,  -7.36,  -7.34,  -1.59,  -3.12,  -0.68,  -3.35,  -5.36,  -4.02,  -4.75,  -3.47,  -1.40,  -8.58,  -2.58,  -1.83,  -1.99,  -4.68
192611,  -0.12,   6.89, -10.69,  -0.82,  -2.34,  -2.52,   5.44,   4.27,  -0.64,   0.04,   5.88,   4.70,   5.86,   7.97,   1.73,   0.81,   5.87,   4.03,   2.71,   0.54,   9.55,   3.27,   3.69,   1.75,   1.87
192612,   5.48,   0.96,  -0.05,   3.88,  -3.64,   5.86,   2.16,   4.44,   2.75,   1.01,   0.85,   0.86,   0.01,   2.91,   1.61,   5.53,   4.32,   3.97,   1.82,   1.27,   2.78,   4.78,   3.16,   2.94,  -0.33
192701,   4.03,   2.62,  -2.76,  -5.77,  -1.00,  -0.38,   0.43,  -0.25,   9.09,   3.44,   0.62,   0.97,  -1.41,   3.96,  -0.06,   0.26,   0.29,   2.94,   1.43,   1.14,  -1.42,  -0.47,   0.67,  -0.61,  -0.49
192702,   6.10,   3.29,  13.74,   3.04,   6.89,   4.99,   3.63,   8.11,   7.10,   5.17,   4.68,   6.24,   3.68,   6.81,  11.55,   5.68,   4.51,   4.40,   5.22,   7.49,   3.84,   4.73,   3.99,   3.62,   3.46
192703,  -3.28,  -1.38,  -4.88,  -0.13,  -2.92,  -2.10,  -5.07,   2.16,  -3.60,  -3.93,  -8.39,  -0.49,  -1.40,  -2.91,  -1.90,  -2.75,   1.83,  -4.25,   2.83,  -2.46,  -5.60,   0.68,   1.82,   1.36,   4.58
192704,  -0.33,  -0.96,   6.30,   0.46,  -1.87,  -1.84,   4.49,   2.72,   0.10,  -1.61,  -2.66,   1.95,   1.11,   1.72,  -0.01,  -3.93,  -3.34,   1.27,   1.04,   1.62,  -4.67,  -2.62,   1.84,   1.91,   2.05
192705,   7.32,   5.88,   4.74,  10.21,   9.53,   5.17,   3.67,   5.57,   3.30,   4.64,   9.32,   4.81,   7.54,   4.50,   9.57,   5.04,   5.34,   8.38,   7.55,   7.98,   4.62,   4.40,   5.41,   6.44,   6.12
192706,  -0.98,   2.85,  -5.67,  -0.77,  -6.57,  -1.45,   0.21,  -2.18,  -0.23,  -1.71,  -5.04,  -2.22,  -3.77,   0.32,   3.87,  -4.79,  -5.58,  -0.28,  -2.08,  -2.84,  -0.19,  -2.20,  -1.97,  -2.34,  -2.34
192707,   6.39,   4.70,   5.94,   1.45,   5.04,   6.98,   3.55,   6.37,   7.13,   5.63,   8.37,   3.86,   4.31,   6.47,   0.74,   2.54,   6.37,   5.62,   8.74,   5.72,   7.34,   7.36,   7.19,   9.75,  10.96
192708,  -2.25,  -1.17,  -0.64,   2.58,  -1.14,  -0.80,   1.18,   2.13,  -1.83,   2.22,  -0.45,  -0.55,   2.48,   0.74,  -2.00,  -0.76,   0.58,   2.23,   3.44,  -0.69,  -3.04,   1.32,   1.64,   0.79,   6.19
192709,  -1.73,   5.67,   2.80,   3.59,  -1.87,   2.47,   1.91,   0.92,   3.24,   0.25,   8.70,   2.11,   3.19,   0.51,   3.27,  10.25,   2.06,   5.19,   4.37,   7.96,   4.07,   2.05,   4.85,   5.90,   6.17
192710,  -6.35,  -1.16, -11.87,  -5.88,  -6.44,  -4.70,  -1.49,   0.12,  -3.14,  -2.82,  -3.56,  -2.91,  -2.08,  -1.89,  -1.26,  -4.51,  -3.68,  -2.09,  -0.83,  -5.28,  -4.48,  -6.68,  -2.33,  -3.75,  -6.68
192711,  20.27,  13.83,   9.65,  12.80,   6.95,  10.33,  12.02,   8.19,   9.00,   6.83,   9.98,   8.24,   8.05,   6.07,   7.86,   9.92,   5.63,   6.72,   6.23,   7.74,  10.66,   7.93,   4.99,   5.65,   5.75
192712,   4.57,   2.62,   3.73,   0.90,   4.19,   2.94,   4.04,   7.22,   1.35,  -1.99,  -0.24,   6.36,   1.38,   3.83,   3.46,   1.31,   3.34,   4.27,   7.61,   5.84,   0.56,   1.81,   2.34,   1.96,   2.59
192801,   5.18,   7.11,   8.24,  10.62,   1.79,   3.51,   2.34,   5.20,   2.70,   2.77,   1.52,   0.42,   4.55,   3.65,  -0.02,  -0.49,  -1.17,   2.07,  -0.46,  -0.90,  -0.92,  -0.49,  -0.42,  -1.75,  -0.01
192802,  -0.90,   3.55,  -1.13,   1.64,  -2.35,  -3.74,  -3.88,  -4.87,  -1.23,  -3.41,  -3.28,  -5.44,  -2.18,  -4.04,  -0.59,  -5.44,  -2.08,  -3.95,  -2.99,   0.10,   0.43,  -0.50,  -0.32,  -2.62,  -3.62
192803,   5.83,   4.12,   4.85,   6.41,   1.05,   8.98,   3.97,   7.48,   7.56,   9.60,   9.38,   5.88,   5.55,   6.83,  13.83,   8.44,   7.77,   8.65,   6.97,   7.64,   2.70,   8.20,   6.54,   6.49,  19.73
192804,  13.96,  13.64,   7.62,  24.02,   9.42,   7.35,   3.28,   8.92,  11.12,  12.55,   7.34,   1.89,   7.03,   6.01,  13.79,   3.24,   6.75,   8.54,   4.82,   4.84,   4.47,   3.98,   4.95,   5.73,   0.73
192805,  14.82,   6.84,  15.82,   0.60,   8.71,  -0.76,   2.16,   2.24,   1.01,   0.76,   5.53,   0.94,   4.08,   2.04,  -1.20,   0.80,   2.71,   2.33,   2.30,   2.64,   4.35,   3.01,   2.04,  -1.11,  -3.66
192806,  -9.70, -20.84,  -5.08,  -9.88, -13.98,  -9.23,  -5.78, -10.57,  -7.87, -11.10,  -7.58,  -4.37,  -1.78,  -5.13,  -6.94,  -5.76,  -4.87,  -8.66,  -5.69,  -6.06,  -3.36,  -4.01,  -3.76,  -3.55,  -8.13
192807,   1.00,  -0.87,   4.00,   2.74,  -0.33,  -2.29,  -2.37,  -1.12,   3.33,  -1.17,   0.06,   0.32,   1.59,  -0.11,   1.40,   4.71,   1.20,   1.67,  -0.67,  -0.40,   4.28,  -0.67,   1.07,   0.66,   3.24
192808,   5.45,  -2.35,   2.27,   5.03,   4.51,   7.20,   2.27,   8.09,   2.32,   3.10,   5.91,   6.27,   7.71,   4.12,   5.58,   5.11,   6.83,   7.95,  10.22,  10.11,  11.89,   5.72,   5.58,   6.89,  10.31
192809,   5.63,   6.70,   6.84,   8.38,   7.21,   4.89,   4.49,   8.18,   5.10,   1.91,   6.01,   2.81,   3.36,   5.50,   8.76,   3.28,   2.79,   4.46,   5.67,   9.45,   9.04,   1.60,   2.82,   1.57,   3.71
192810,   0.42,  -1.33,  -3.27,   0.97,  10.68,  -0.31,  -0.54,   3.59,   2.09,   5.86,   2.46,  -0.49,   2.16,   1.71,   3.60,   0.70,   1.87,  -0.36,  -1.84,   1.51,   2.06,   1.42,   2.98,   1.40,   3.58
192811,  17.92,  10.89,  10.09,  14.02,   8.23,  10.85,   9.74,   7.43,  10.29,  10.36,  10.79,  11.45,   8.46,  11.60,  11.22,   9.84,   8.10,  11.17,  14.35,  15.18,   8.61,  10.22,  11.73,  11.95,  19.49
192812,  -3.12,  -4.02,  -4.73,  -4.83,  -7.81,   1.87,  -1.33,  -6.40,   1.30,   1.02,  -2.02,   2.14,  -0.12,   0.39,   4.56,  -0.40,   1.18,   1.83,   3.51,  -1.80,  -3.17,  -0.21,   0.41,   1.68,   1.10
192901,   2.06,   4.07,   2.64,   1.54,  -0.80,  -2.98,   3.95,   2.99,   3.32,   5.33,   1.25,  -0.24,   3.89,   2.08,   4.29,  -2.15,   4.79,   5.27,   4.26,   4.58,  -7.29,   3.68,   5.61,  10.39,   6.50
192902,   0.14,  -2.47,   1.38,  -2.31,   2.08,   1.77,  -2.07,   3.47,   3.55,  -2.20,   1.63,   0.46,   3.20,   0.51,  -2.19,  -1.64,   1.90,   1.82,   0.30,   1.83,  -0.28,   0.21,   0.59,  -0.68,  -0.36
192903,  -3.01,  -4.80,  -9.57,  -1.15,   0.38,  -6.79,  -2.35,  -4.21,  -2.59,  -4.46,  -4.37,  -4.14,  -4.17,  -2.22,  -4.68,  -3.71,  -3.43,  -3.01,  -2.79,  -7.70,  -4.82,  -2.28,   1.55,   1.63,   2.10
192904,  -1.55,  -2.03,  -0.42,  -2.57,   3.54,  -0.70,   1.32,   2.79,   2.34,   0.85,   4.98,   3.64,   0.86,   0.29,  -5.02,  -1.45,  -0.54,   2.86,   3.31,   1.34,   3.61,   1.51,   2.47,   2.30,   1.26
