Date,SMALL LoVAR,ME1 VAR2,ME1 VAR3,ME1 VAR4,SMALL HiVAR,ME2 VAR1,ME2 VAR2,ME2 VAR3,ME2 VAR4,ME2 VAR5,ME3 VAR1,ME3 VAR2,ME3 VAR3,ME3 VAR4,ME3 VAR5,ME4 VAR1,ME4 VAR2,ME4 VAR3,ME4 VAR4,ME4 VAR5,BIG LoVAR,ME5 VAR2,ME5 VAR3,ME5 VAR4,BIG HiVAR
196307,   -0.5741,    0.6624,   -0.0129,    0.3686,   -1.2140,   -0.1319,   -0.4208,   -3.2415,   -0.1558,   -2.3652,   -1.1612,   -0.9632,   -0.8074,   -1.7288,   -3.6085,   -0.7526,   -1.2234,   -1.3717,   -2.1544,   -1.5428,    0.2901,    0.3443,    0.2997,    0.0321,   -0.1489
196308,    2.5710,    2.9329,    4.0519,    3.2496,    2.2678,    2.4290,    4.4933,    5.1033,    7.2537,    5.8476,    3.3655,    4.7810,    6.6981,    4.8522,    7.2292,    3.9121,    4.7001,    5.6713,    6.1533,    7.9193,    4.5715,    4.5106,    5.2845,    7.3854,    7.3881
196309,    0.5389,    0.2486,   -0.5307,   -2.7215,   -1.0884,    0.0440,   -1.1440,   -2.2420,   -2.4554,   -2.7442,    0.4963,   -0.1289,   -3.5916,   -3.5755,   -2.9639,   -0.2786,   -2.0742,   -1.5542,   -3.3880,   -3.8471,   -0.4529,   -1.3420,   -1.0508,   -1.6891,   -1.9472
196310,    0.7739,    1.4658,    2.6848,    0.8552,   -0.7454,    0.8971,    2.1860,    2.6398,    3.0366,    3.1121,    0.5301,   -0.3363,    2.5330,    1.0197,    3.7762,   -0.5389,    1.2328,    0.1410,    2.4257,    1.8472,    1.7185,    2.4566,    7.1694,    3.2632,    3.4473
196311,   -0.9462,    0.0327,   -0.4283,   -2.0252,   -3.6494,   -0.6137,    0.0809,   -0.0251,   -1.4098,   -3.8420,   -1.8225,   -1.0690,   -1.7315,   -1.0432,   -1.9436,    0.0928,   -0.7037,   -1.1770,    0.0150,    0.2289,    1.9135,   -0.3432,   -1.1587,   -4.0879,   -0.1306
196312,    0.2608,    0.7355,    0.0463,   -1.6554,   -4.4409,    0.2614,    0.9599,    2.1052,    0.7053,   -0.4282,    1.8241,    1.5349,    0.6433,    1.9859,   -1.6057,    3.3887,    1.3863,    0.8383,    1.1984,    1.5926,    2.9927,    3.3677,    3.7754,    1.5649,    0.5049
196401,    3.5328,    4.5812,    4.0223,    2.9583,    4.6789,    3.2981,    3.2229,    2.0943,    2.8964,    0.1706,    2.1331,    2.9476,    1.5043,    2.0924,   -3.2802,    0.9572,    0.6329,    2.2289,    1.7844,    1.2092,    1.3158,    2.7217,    4.5158,    2.7721,    1.4335
196402,    3.0501,    1.0163,    3.5172,    2.7991,    2.4883,    2.7510,    1.9233,    2.9391,    3.1874,    3.5214,    1.5770,    2.5699,    2.2838,    4.5692,    0.8282,    1.2468,    1.4526,    2.4895,    4.2359,    4.5464,    0.8178,    2.4810,    2.5063,    0.8074,    1.7444
196403,    2.2284,    3.0911,    3.3877,    4.0986,    1.5747,    2.4818,    4.9348,    5.3358,    3.7130,    0.5045,    2.3352,    3.6218,    3.0034,    2.7219,    3.7207,    3.5244,    3.0729,    1.7268,    3.1481,    3.6697,    0.7228,    1.1736,    1.4393,    2.9522,    1.3132
196404,    0.6312,    0.8870,   -0.0750,   -1.5917,   -1.3216,    1.1727,    0.1755,    0.7655,   -0.5845,   -2.1582,    0.8800,   -0.3325,    0.8814,   -2.1197,   -3.7604,    0.5602,    0.7278,   -0.3736,   -2.0251,   -0.2471,    2.0969,   -0.3544,    1.5762,   -1.6671,   -1.9050
196405,    0.6082,    0.0557,    1.3704,   -0.8410,   -0.3403,    1.5467,    1.9712,    2.2765,    2.1216,    0.7057,    0.6724,    1.4943,    1.6636,    0.7574,    3.3866,    1.4273,    1.5590,    2.6078,    0.2070,    2.6162,    1.6807,    2.2385,    0.5845,    1.0461,    2.2438
196406,    2.0907,    2.8515,    2.1465,    1.8599,   -0.8847,    1.8786,    1.7619,    2.8639,    0.6035,   -0.2570,    1.2230,    3.2025,    3.5514,    0.8539,    0.2624,    1.8000,    2.1757,    1.8451,    1.6393,    1.0147,    1.8255,    1.5263,    1.7841,    1.4097,    0.4688
196407,    3.2196,    3.3695,    2.6541,    2.8908,    3.2535,    2.9559,    2.0107,    3.6663,    3.4923,    0.6988,    3.1935,    3.2799,    2.7703,    2.2233,    1.0239,    2.7986,    3.1365,    2.3991,    2.2221,   -0.1288,    1.0378,    1.7157,    3.9913,    2.6005,   -0.3136
