Date,LoOP LoINV,OP1 INV2,OP1 INV3,OP1 INV4,LoOP HiINV,OP2 INV1,OP2 INV2,OP2 INV3,OP2 INV4,OP2 INV5,OP3 INV1,OP3 INV2,OP3 INV3,OP3 INV4,OP3 INV5,OP4 INV1,OP4 INV2,OP4 INV3,OP4 INV4,OP4 INV5,HiOP LoINV,OP5 INV2,OP5 INV3,OP5 INV4,HiOP HiINV
196307,  -0.9126,  -1.0125,  -1.7451,   0.9260,  -2.2865,  -1.1944,  -1.2911,   3.4050,   1.9028,   0.1570,  -0.7721,  -0.7290,   0.4388,  -0.3154,   2.0418,  -3.0504,   0.4999,  -0.7419,   0.5540,  -2.5178,   2.6494,   0.6480,  -0.5135,  -0.3702,   1.5599
196308,   7.7546,   4.7862,   4.8259,   1.4955,   6.7517,   8.9500,   5.7783,   2.7306,   2.8559,   5.5694,   6.7669,   4.6702,   5.0195,   5.3841,   4.9823,   3.2931,   4.5431,   6.3099,   6.6352,   6.7044,   5.6590,   6.3015,   7.4888,   4.8241,   7.0463
196309,  -0.7843,  -0.8666,  -1.7144,  -2.6042,  -2.8571,   0.7315,   0.2001,  -3.2006,  -3.7589,  -2.7385,  -1.1951,   0.0036,  -2.5675,   2.5911,  -1.7372,  -0.3210,  -2.2851,  -2.4874,  -3.1863,  -0.5037,  -5.5857,  -2.6557,  -3.4218,  -0.4814,  -0.7150
196310,   2.4629,   2.5945,   2.2609,  -0.7876,   1.2393,   1.5160,   0.6019,  -2.0758,   2.7261,  -2.0530,   0.3514,   0.7071,   1.4372,   3.3443,   3.1451,   3.5154,   0.1980,   1.7546,   7.9081,   1.1315,   2.8126,   3.4574,   0.7555,   5.4205,  12.7602
196311,  -0.9798,  -0.5559,   3.4243,  -4.1349,   0.3650,  -1.3728,  -2.7447,  -1.7582,   0.7929,  -1.0571,  -3.3494,  -1.0899,  -0.9195,   3.0663,  -0.9310,   4.9730,   0.0156,  -0.6905,  -0.2699,  -2.3741,  -0.1854,  -0.4554,  -2.6642,  -0.7672,  -5.4063
196312,  -0.3359,   2.2106,  -0.3077,   0.7574,   0.3364,   0.2036,   2.6991,   3.9918,   5.5576,   7.4184,   6.4793,   2.2317,   1.5449,   0.5562,   0.9221,   3.2515,   2.9704,   2.7044,   1.5748,   1.8284,  -0.2689,   5.6203,   0.5484,   2.7294,  -0.0402
196401,   0.6966,   3.5513,   0.8863,   5.0298,   1.9059,   5.6572,   1.7152,   4.4339,   6.5782,  -0.8450,   0.1861,   0.6067,   1.0417,   3.6425,  -0.3550,   3.8599,   1.3401,   1.3397,   0.8828,  -0.4830,   5.8732,   2.0473,   2.4353,   4.9359,   0.4661
196402,   4.8645,   1.5367,   3.3761,  -0.9199,   1.5093,   1.0892,   3.4556,   1.8513,   0.8976,   1.6285,  -0.1534,   2.8532,   2.4889,   0.4647,   1.1327,   3.4201,   1.2954,   1.2223,  -0.2722,   2.6629,   3.9151,   0.3302,   2.2356,   3.4376,   1.5744
196403,   6.0781,   6.9741,   3.8265,   0.4580,   1.1646,   6.5133,   2.6896,   2.1304,   2.0402,   1.5517,   1.1840,   2.0884,   0.2678,  -0.3277,   1.7401,   0.6932,   3.1686,   1.3742,   1.1110,   3.1264,   7.8257,   5.2682,   0.5385,   1.8335,   0.5154
196404,  -3.1762,  -1.7524,  18.4654,   5.4832,   2.4199,  -4.2386,   3.0295,   3.3658,   2.5927,   4.1634,  -0.7494,  -0.6522,   0.0849,   0.8856,  -1.4797,  -1.7182,  -0.6299,  -0.9531,  -2.4067,   0.1120,  -1.0347,   0.1089,  -0.3743,  -1.9512,   4.2961
196405,   1.1955,  -0.3363,   2.0763,  -3.0866,   3.4612,   2.0886,   2.0943,   2.8720,   2.0908,   3.5623,  -2.4397,   1.6242,   1.0489,   0.7342,   0.3226,   2.3350,   0.2847,  -0.0729,  -0.1542,   0.1774,   2.7256,   1.2732,   0.4226,   2.7324,   3.7647
196406,   0.9792,   2.1756,   0.4277,   3.9031,  -1.4471,   0.0001,   2.5852,   0.1193,   0.5504,   1.7604,   4.2418,   1.7809,   3.3584,   4.6511,   1.8507,  -1.9050,   1.7417,   0.8731,   2.4133,   1.6037,   0.0046,   1.7113,   3.2082,   0.1870,   0.9460
196407,   2.0114,   3.9331,   2.0365,  -0.2704,  -0.0256,   1.1757,   1.6869,   1.8642,   5.0015,  -1.3487,   3.8821,   3.7442,  -0.3459,   1.7962,   0.8285,   3.7127,   4.9167,   3.0153,   2.0903,   2.8818,   2.9504,  -0.0974,   5.7460,  -0.6130,   1.5744
196408,  -2.3153,  -0.4985,  -0.8002,  -1.6309,  -0.1792,   0.0135,   0.2670,  -1.9807,  -3.2796,  -0.8311,   2.6767,  -0.1942,  -1.5699,   1.9350,   0.2989,  -0.0354,   1.3356,  -1.3636,  -1.4779,  -2.1467,  -1.3793,  -3.0363,   0.7814,  -2.9903,  -1.2853
196409,   5.1716,   4.4901,  -0.3138,   6.1358,   7.9746,   2.9042,   4.4984,   2.9111,   5.1238,   5.0337,   0.1399,   3.5069,   0.2103,   3.4505,   3.2413,   1.7267,   0.3793,   3.7961,   5.1644,   2.9580,   4.1049,   6.4261,   3.4565,   0.3774,   5.9814
196410,   3.3447,   3.8273,   3.4294,   0.4943,  -2.5315,   2.8489,  -0.9825,   3.5824,   1.8817,   0.7168,   2.2850,   2.0470,  -1.0231,   0.6436,   1.2845,   0.5781,   2.0372,   0.7311,   3.1941,   3.4778,  -0.1044,  -1.5212,   0.7975,  -2.0672,   0.8378
196411,  -2.0096,  -1.1502,   5.3543,   0.5683,  -4.5181,   1.1549,  -1.4760,   1.4798,   2.3088,   2.0410,   0.6786,  -0.5532,  -1.3902,   1.0708,   2.1007,   2.7885,  -0.5448,   1.4473,   1.3660,   0.7963,   2.0772,   3.6978,  -0.7483,   0.4811,  -0.5831
196412,   0.8145,  -2.5972,   2.2056,  -3.6960,  -1.2940,  -2.1250,  -2.9890,  -0.3115,  -0.9374,  -1.6843,  -0.0929,  -0.7244,   2.7261,  -0.6698,   2.3882,  -2.3017,   0.5076,   1.2383,  -0.3379,   0.4834,   0.7814,  -0.9974,   2.8089,  -0.4542,   1.3709
