Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    1.14,   -0.10,   -0.93,   -0.91,   -1.46,    1.36,    0.75,    0.08,   -0.28,   -0.59,   -1.22,   -0.42,   -1.35,   -2.06,   -0.77
196308,    3.66,    4.77,    6.34,    6.38,    9.72,    3.52,    3.90,    4.29,    5.26,    5.20,    7.34,    7.94,    4.96,    9.06,   10.47
196309,   -2.78,   -0.76,   -0.71,   -0.92,   -2.74,   -3.10,   -2.24,   -0.54,   -0.98,   -1.33,   -0.17,   -0.81,   -1.02,   -1.91,   -3.68
196310,    0.74,    3.57,    2.08,    5.75,    3.05,    1.24,   -0.13,    2.00,    5.13,    2.35,    1.86,    6.80,    4.76,    3.09,    3.01
196311,   -0.63,   -0.24,   -0.91,   -0.83,    0.18,   -0.91,   -0.15,    1.60,   -2.03,   -1.00,   -0.84,   -1.14,   -0.54,   -0.12,    0.52
196312,    2.66,    2.08,    2.70,    2.24,    0.75,    3.85,    0.65,    2.31,    1.84,    2.95,    2.49,    0.99,    3.42,    0.28,    1.28
196401,    2.89,    2.77,    2.48,    3.51,    1.51,    3.73,    1.42,    2.74,    2.79,    1.72,    3.13,    2.59,    4.37,    1.99,    0.96
196402,    1.31,    1.35,    1.98,    2.95,    3.00,    1.10,    1.70,    0.62,    2.09,    2.48,    1.56,    1.92,    3.89,    2.22,    3.89
196403,    0.95,    0.59,    2.41,    3.05,    5.98,    1.05,    0.77,    0.05,    1.12,    3.07,    1.87,    2.04,    3.96,    5.86,    6.12
196404,    2.35,    1.48,   -0.40,   -2.44,   -3.37,    2.65,    1.82,    1.57,    1.39,   -0.85,   -0.01,   -2.29,   -2.57,   -1.93,   -4.98
196405,    1.66,    1.50,    1.40,    2.01,    1.48,    1.63,    1.72,    0.23,    2.76,    2.21,    0.71,    0.90,    2.98,    1.61,    1.33
196406,    1.77,    2.05,    1.20,    1.13,    1.84,    1.52,    2.20,    3.81,    0.34,    1.12,    1.27,    2.31,    0.11,    1.99,    1.66
196407,    1.38,    3.64,    2.19,    0.20,    1.00,    4.08,    0.67,    4.86,    2.24,    3.43,    0.96,    1.17,   -0.55,    1.27,    0.53
196408,   -0.97,   -0.49,   -1.29,   -2.14,   -2.04,    1.34,   -1.59,    0.13,   -1.23,   -1.92,   -0.65,   -1.54,   -2.61,   -1.71,   -2.63
196409,    1.54,    3.35,    3.64,    2.96,    5.91,    2.88,    1.17,    3.48,    3.19,    3.58,    3.70,    3.10,    2.85,    5.95,    5.84
196410,    1.00,    1.58,    1.33,   -1.16,    0.47,    1.17,    0.95,    0.94,    2.33,    1.46,    1.21,    0.56,   -2.50,   -0.21,    1.68
196411,    0.35,    0.27,    1.46,   -1.02,   -2.62,    1.31,    0.08,   -0.26,    0.89,    1.96,    0.96,   -0.17,   -1.70,   -2.77,   -2.37
196412,    1.50,    0.18,    0.07,   -0.40,   -0.78,   -0.11,    1.96,    0.58,   -0.28,    0.09,    0.04,   -1.05,    0.14,   -1.02,   -0.35
196501,    1.29,    3.67,    4.61,    6.56,    6.69,    2.88,    0.84,    4.02,    3.27,    5.55,    3.66,    4.98,    7.84,    6.06,    7.79
196502,   -0.35,   -0.69,    0.90,    2.89,    4.61,    1.17,   -0.79,   -0.01,   -1.49,   -0.43,    2.29,    2.83,    2.94,    4.32,    5.14
196503,   -1.41,   -0.42,   -2.16,   -0.64,   -0.06,   -0.01,   -1.81,    0.09,   -1.03,   -2.62,   -1.69,   -0.84,   -0.48,    0.25,   -0.61
196504,    1.98,    3.83,    3.98,    4.02,    5.12,    1.29,    2.19,    4.80,    2.67,    2.07,    5.89,    2.27,    5.39,    5.28,    4.84
196505,    0.86,   -1.69,    0.28,   -0.64,   -1.18,   -0.10,    1.14,   -2.46,   -0.74,    2.11,   -1.48,   -0.50,   -0.74,   -1.08,   -1.35
196506,   -3.79,   -4.05,   -5.06,   -6.11,   -9.54,   -5.07,   -3.42,   -5.44,   -2.36,   -5.21,   -4.90,   -6.69,   -5.67,   -8.92,  -10.64
196507,    1.92,    0.83,    0.81,    2.48,    5.60,    2.10,    1.78,    1.48,    0.50,    0.65,    0.96,    0.87,    3.62,    4.57,    6.75
196508,    1.29,    2.52,    4.11,    4.32,    7.42,    1.17,    1.39,    1.62,    3.00,    3.63,    4.58,    3.36,    4.98,    5.54,    9.50
196509,    4.49,    2.17,    2.42,    2.15,    5.54,    4.92,    4.18,    3.13,    1.68,    2.78,    2.06,    2.30,    2.05,    5.65,    5.43
196510,    2.54,    1.88,    2.64,    4.06,    6.98,    1.76,    3.13,    2.90,    1.35,    2.14,    3.12,    3.98,    4.12,    5.97,    8.06
196511,   -0.77,   -2.07,    1.37,    2.15,    6.47,    1.35,   -2.32,   -0.79,   -2.76,    2.02,    0.73,    3.33,    1.34,    4.66,    8.35
196512,    0.58,    1.09,    0.92,    1.76,    4.71,    0.63,    0.54,    0.71,    1.29,    0.67,    1.16,    3.62,    0.45,    4.43,    5.00
196601,    0.39,   -0.34,    0.87,    1.92,    6.30,    0.99,   -0.06,    0.04,   -0.56,    1.63,    0.12,    2.03,    1.84,    6.14,    6.45
196602,   -2.91,   -2.03,   -0.85,    1.41,    5.70,   -3.51,   -2.44,   -3.03,   -1.49,   -1.01,   -0.70,   -0.42,    2.73,    3.04,    8.38
196603,   -2.41,   -2.20,   -3.15,   -0.84,   -0.64,   -1.34,   -3.23,   -3.04,   -1.74,   -2.57,   -3.74,   -2.01,   -0.01,    0.02,   -1.26
196604,    1.37,    1.51,    1.75,    4.76,    5.38,    2.70,    0.33,    0.32,    2.14,    1.45,    2.04,    5.38,    4.33,    5.40,    5.36
196605,   -4.78,   -3.59,   -4.99,   -5.24,  -11.18,   -4.84,   -4.74,   -3.84,   -3.47,   -4.99,   -4.99,   -5.50,   -5.06,   -9.92,  -12.41
196606,   -2.04,   -1.39,   -1.73,    0.17,    1.94,   -2.08,   -2.01,   -2.95,   -0.58,   -1.53,   -1.95,    1.46,   -0.72,    0.29,    3.58
