Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    0.48,   -1.36,   -0.66,   -0.22,   -1.35,    0.33,    1.04,   -1.04,   -1.80,   -0.11,   -1.61,    1.35,   -2.56,   -1.17,   -1.51
196308,    4.66,    6.53,    5.62,    6.58,    7.81,    4.27,    6.17,    6.26,    6.88,    5.91,    5.19,    6.54,    6.63,   10.26,    5.25
196309,   -0.76,   -1.84,   -2.05,   -2.42,   -2.34,   -0.31,   -2.23,   -1.94,   -1.71,   -1.77,   -2.32,   -3.46,   -0.70,   -2.45,   -2.22
196310,    3.19,    2.33,    1.76,    2.57,    2.82,    4.26,    0.58,    1.83,    2.91,    1.50,    2.04,    1.97,    3.48,    4.54,    1.31
196311,   -0.35,   -1.14,   -0.30,   -0.76,   -1.24,    1.37,   -2.52,   -0.68,   -1.71,   -0.86,    0.49,   -0.66,   -0.90,   -0.19,   -2.17
196312,    2.94,    1.30,    1.50,    1.70,   -0.23,    1.52,    4.62,    1.40,    1.15,    1.80,    1.21,    1.99,    1.22,   -0.34,   -0.14
196401,    3.47,    1.64,    1.70,    2.86,   -1.07,    3.73,    3.09,    0.78,    2.34,    1.17,    2.48,    1.71,    4.03,   -0.60,   -1.43
196402,    1.34,    1.87,    1.98,    5.26,    1.88,    1.16,    1.66,    1.27,    2.85,    2.27,    1.53,    5.58,    4.72,    2.47,    1.40
196403,    1.15,    2.47,    2.46,    2.95,    1.66,    0.85,    1.65,    2.91,    1.46,    2.72,    2.05,    3.25,    2.59,    1.04,    2.26
196404,    1.33,   -0.43,   -0.51,   -2.41,   -1.28,    1.40,    1.14,   -0.97,    0.65,   -0.29,   -0.74,   -1.69,   -3.64,   -2.68,    0.13
196405,    1.72,    1.31,    0.80,    1.21,    4.00,    1.88,    1.14,    0.50,    2.52,    0.88,    0.69,    0.85,    1.69,    5.91,    1.80
196406,    1.62,    1.94,    1.92,    1.45,   -0.45,    1.80,    1.17,    1.91,    1.97,    2.30,    1.29,    1.43,    1.49,    0.59,   -1.72
196407,    1.98,    3.02,    1.36,    2.16,   -0.12,    1.62,    3.05,    2.66,    3.40,    2.17,    0.51,    1.46,    2.93,   -1.32,    1.46
196408,   -1.24,   -1.10,   -0.42,   -0.94,   -1.86,   -1.30,   -1.04,   -1.39,   -0.61,   -0.13,   -0.78,   -0.26,   -2.01,   -2.43,   -1.15
196409,    2.57,    2.15,    3.91,    5.66,    6.00,    2.58,    2.53,    1.71,    2.60,    3.25,    4.61,    5.60,    5.74,    6.66,    5.02
196410,    0.65,    1.62,    1.16,    1.91,   -1.23,    0.91,   -0.18,    1.94,    1.23,    1.29,    1.04,    2.46,    1.09,   -1.74,   -0.59
196411,    0.49,   -0.08,    0.76,    0.45,   -2.79,    0.45,    0.62,   -0.11,   -0.03,    0.93,    0.56,    2.38,   -2.05,   -2.83,   -2.73
