Date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    0.33,   -0.51,   -1.00,   -0.20,   -1.73,    0.37,    0.26,    0.21,   -1.48,   -0.86,   -1.18,    0.79,   -2.00,   -2.02,   -1.46
196308,    4.59,    6.14,    5.88,    6.32,    7.85,    4.18,    5.24,    5.26,    7.35,    5.57,    6.31,    5.99,    6.75,    9.30,    6.34
196309,   -0.89,   -1.09,   -2.65,   -2.64,   -1.49,   -0.52,   -1.37,   -0.86,   -1.45,   -1.98,   -3.25,   -3.14,   -2.03,   -0.99,   -1.93
196310,    1.80,    5.36,    2.34,    2.34,    3.61,    1.33,    2.61,    6.46,    2.90,    2.48,    2.17,    2.02,    2.92,    6.79,    0.72
196311,    0.85,   -1.24,   -3.12,   -0.25,   -1.63,    1.45,   -0.09,   -1.17,   -1.36,   -4.50,   -0.01,   -0.29,   -0.20,    0.90,   -3.51
196312,    2.92,    3.45,    1.12,   -0.17,    0.74,    2.63,    3.24,    3.56,    3.33,    1.90,    0.90,    0.26,   -0.68,    2.49,   -0.82
196401,    1.97,    3.76,    2.49,    2.04,    0.68,    1.20,    2.70,    4.30,    2.75,    1.88,    2.83,    1.99,    2.16,    0.02,    1.41
196402,    1.64,    1.93,    1.44,    2.91,    1.92,    0.71,    2.61,    2.47,    0.97,    0.94,    3.52,    2.94,    2.86,    1.64,    2.29
196403,    1.05,    2.72,    2.02,    3.14,    2.02,    0.85,    1.41,    2.11,    3.29,    2.70,    0.96,    3.25,    3.01,    2.90,    1.36
196404,    1.33,   -0.29,   -0.25,   -2.64,   -1.33,    1.61,    0.58,    1.50,   -1.89,   -0.29,   -0.20,   -2.10,   -3.63,   -2.66,    0.01
196405,    1.78,    1.18,    1.16,    0.56,    4.13,    1.83,    1.56,    0.70,    1.77,    1.16,    1.17,   -0.36,    1.70,    6.33,    1.69
196406,    1.68,    1.76,    1.87,    1.18,   -0.31,    1.82,    1.47,    2.09,    1.29,    2.51,    0.97,    1.36,    0.95,    0.74,   -1.55
196407,    1.46,    3.58,    1.96,    1.31,    0.78,    1.27,    1.83,    4.27,    2.10,    3.35,   -0.38,    1.58,    0.85,    0.56,    1.12
196408,   -1.22,   -0.96,   -0.81,   -1.02,   -1.80,   -2.08,    0.22,   -1.33,   -0.37,   -0.28,   -1.40,   -0.63,   -1.48,   -1.88,   -1.71
196409,    2.45,    2.48,    3.77,    5.34,    6.56,    2.22,    2.77,    2.93,    1.94,    3.37,    4.30,    5.33,    5.37,    7.39,    5.48
196410,    0.94,    0.61,    1.66,    1.32,   -1.08,    0.54,    2.36,    2.31,   -0.72,    1.53,    1.82,   -0.14,    3.05,   -1.49,   -0.53
196411,    0.71,   -0.07,   -0.17,    0.55,   -2.96,    1.27,   -0.43,    1.41,   -1.32,   -0.82,    0.65,    1.78,   -1.40,   -1.13,   -4.54
196412,    0.85,   -0.29,    0.29,   -0.41,   -0.48,    0.74,    1.02,    0.25,   -1.34,   -0.05,    0.77,   -0.46,   -0.31,   -0.28,   -0.66
196501,    2.95,    4.42,    4.74,    4.40,    7.23,    1.46,    5.11,    4.59,    4.16,    4.69,    4.81,    3.81,    5.43,    4.52,    9.77
196502,   -0.76,    1.68,    2.53,    2.89,    5.06,   -0.88,   -0.57,    1.58,    1.87,    1.99,    3.17,    2.54,    3.63,    5.71,    4.36
196503,   -1.19,   -0.81,   -1.06,   -0.61,    0.52,   -1.47,   -0.61,   -0.68,   -1.03,   -1.30,   -0.76,   -0.05,   -1.35,    1.33,   -0.14
196504,    3.21,    2.74,    4.34,    4.89,    4.62,    3.21,    3.19,    2.55,    3.14,    4.38,    4.31,    5.11,    4.64,    5.44,    3.53
196505,   -0.39,   -0.49,    0.12,   -0.88,   -1.36,    0.02,   -0.86,   -0.11,   -0.87,    0.27,   -0.05,   -1.51,    0.07,   -0.41,   -2.25
196506,   -4.03,   -4.73,   -6.82,   -7.76,  -11.65,   -3.18,   -4.92,   -4.11,   -5.73,   -6.47,   -7.14,   -7.90,   -7.57,  -10.63,  -12.76
196507,    1.44,    0.84,    2.24,    3.50,    5.37,    0.44,    2.21,    0.59,    1.18,    2.41,    2.09,    3.94,    2.70,    6.62,    3.84
196508,    2.05,    2.46,    4.49,    5.97,    8.09,    1.05,    2.95,    1.03,    5.35,    3.70,    5.52,    5.95,    5.99,    8.87,    7.04
196509,    2.56,    2.96,    4.70,    4.15,    5.05,    2.60,    2.51,    2.80,    3.19,    4.86,    4.50,    4.47,    3.74,    5.68,    4.26
196510,    1.48,    2.75,    4.85,    5.97,    8.13,    1.45,    1.56,    2.10,    3.43,    4.34,    5.36,    5.70,    6.39,    8.37,    7.81
196511,   -1.48,   -0.12,    2.76,    4.07,    7.91,   -2.36,    0.26,    0.55,   -0.78,    1.12,    5.69,    2.64,    5.73,    6.18,   10.11
196512,   -0.13,    2.35,    2.40,    4.67,    3.33,   -0.94,    0.88,    3.15,    1.25,    1.78,    3.35,    4.10,    5.45,    3.12,    3.61
196601,   -0.75,    0.94,    3.89,    6.40,    5.34,   -1.07,   -0.23,    1.09,    0.71,    1.96,    5.65,    4.85,    8.18,    4.26,    6.97
196602,   -2.13,   -2.27,    1.19,    3.12,    5.37,   -2.82,   -0.73,   -2.45,   -2.02,   -0.02,    2.23,    1.65,    4.53,    4.33,    6.51
196603,   -2.73,   -1.61,   -1.60,   -0.54,   -1.98,   -3.26,   -1.56,   -1.16,   -2.15,   -1.85,   -1.25,    0.22,   -1.50,   -2.49,   -1.52
196604,    1.84,    1.35,    2.60,    5.83,    5.13,    1.36,    2.87,    0.52,    2.60,    2.09,    3.46,    5.31,    6.57,    4.49,    5.83
196605,   -3.93,   -4.35,   -5.01,   -8.66,  -12.10,   -4.09,   -3.59,   -3.94,   -4.83,   -3.83,   -6.45,   -8.85,   -8.37,  -10.51,  -13.76
196606,   -2.18,   -0.96,   -0.72,   -0.05,    2.83,   -2.32,   -1.99,   -0.65,   -1.45,   -0.91,   -0.37,   -0.46,    0.38,    1.26,    4.23
196607,   -0.44,   -2.04,   -0.65,   -3.59,   -1.69,   -0.74,    0.06,   -0.73,   -2.87,   -0.69,   -0.61,   -3.40,   -3.79,   -1.51,   -1.82
196608,   -6.19,   -7.59,   -7.41,  -10.85,   -9.94,   -5.92,   -6.55,   -7.60,   -7.56,   -6.73,   -8.02,   -8.66,  -12.58,  -11.35,   -9.03
196609,    0.55,    0.20,   -1.75,   -1.66,   -5.63,    2.48,   -1.05,   -0.44,    1.09,   -2.52,   -0.83,   -1.91,   -1.34,   -4.48,   -6.45
196610,    5.74,    5.83,    5.46,    4.09,   -6.73,    7.39,    3.98,    6.71,    4.57,    5.64,    5.11,    4.43,    3.31,   -4.03,   -9.34
196611,   -1.40,   -0.06,    1.60,    4.15,   16.93,   -0.74,   -1.86,   -3.47,    3.37,   -0.39,    4.28,    3.83,    4.61,   13.32,   19.67
196612,    0.74,   -0.26,    0.85,    1.72,    0.67,   -1.21,    2.43,   -0.89,    1.03,    1.96,   -0.48,    0.70,    3.36,    2.21,   -0.44
196701,    6.88,    6.83,    8.95,   12.45,   17.48,    7.69,    6.39,    7.47,    6.02,    9.38,    8.57,   12.25,   12.68,   15.18,   21.33
196702,    1.01,    0.02,    1.36,    1.68,    4.69,   -0.02,    2.19,   -0.68,    1.27,    1.33,    1.40,    2.87,    0.02,    3.08,    6.27
